id,sensorId,timestamp,chan_0,chan_1
4054231,57226,2021-12-22T21:14:57.000Z,0,0
4054251,57226,2021-12-22T21:15:57.000Z,0,0
4054271,57226,2021-12-22T21:16:57.000Z,0,0
4054291,57226,2021-12-22T21:17:57.000Z,0,0
4054311,57226,2021-12-22T21:18:57.000Z,0,0
4054331,57226,2021-12-22T21:19:57.000Z,0,0
4054351,57226,2021-12-22T21:20:57.000Z,0,0
4054371,57226,2021-12-22T21:21:57.000Z,0,0
4054391,57226,2021-12-22T21:22:57.000Z,0,0
4054411,57226,2021-12-22T21:23:57.000Z,0,0
4054431,57226,2021-12-22T21:24:57.000Z,0,0
4054451,57226,2021-12-22T21:25:57.000Z,0,0
4054471,57226,2021-12-22T21:26:57.000Z,982,58
4054491,57226,2021-12-22T21:27:57.000Z,5006,300
4054511,57226,2021-12-22T21:28:57.000Z,1773,106
4054531,57226,2021-12-22T21:29:57.000Z,0,0
4054551,57226,2021-12-22T21:30:57.000Z,0,0
4054571,57226,2021-12-22T21:31:57.000Z,0,0
4054591,57226,2021-12-22T21:32:57.000Z,0,0
4054611,57226,2021-12-22T21:33:57.000Z,0,0
4054631,57226,2021-12-22T21:34:57.000Z,0,0
4054651,57226,2021-12-22T21:35:57.000Z,0,0
4054671,57226,2021-12-22T21:36:57.000Z,0,0
4054691,57226,2021-12-22T21:37:57.000Z,0,0
4054711,57226,2021-12-22T21:38:57.000Z,0,0
4054731,57226,2021-12-22T21:39:57.000Z,0,0
4054751,57226,2021-12-22T21:40:57.000Z,0,0
4054771,57226,2021-12-22T21:41:57.000Z,0,0
4054791,57226,2021-12-22T21:42:57.000Z,0,0
4054811,57226,2021-12-22T21:43:57.000Z,0,0
4054831,57226,2021-12-22T21:44:57.000Z,0,0
4054851,57226,2021-12-22T21:45:57.000Z,0,0
4054871,57226,2021-12-22T21:46:57.000Z,0,0
4054891,57226,2021-12-22T21:47:57.000Z,0,0
4054911,57226,2021-12-22T21:48:57.000Z,0,0
4054931,57226,2021-12-22T21:49:57.000Z,0,0
4054951,57226,2021-12-22T21:50:57.000Z,0,0
4054971,57226,2021-12-22T21:51:57.000Z,0,0
4054991,57226,2021-12-22T21:52:57.000Z,0,0
4055011,57226,2021-12-22T21:53:57.000Z,0,0
4055035,57226,2021-12-22T21:55:07.000Z,0,0
4055055,57226,2021-12-22T21:56:23.000Z,0,0
4055093,57226,2021-12-22T21:58:18.000Z,0,0
4055131,57226,2021-12-22T22:00:13.000Z,0,0
4055151,57226,2021-12-22T22:01:09.000Z,0,0
4055171,57226,2021-12-22T22:02:08.000Z,0,0
4055191,57226,2021-12-22T22:03:08.000Z,0,0
4055211,57226,2021-12-22T22:04:09.000Z,0,0
4055231,57226,2021-12-22T22:05:08.000Z,0,0
4055251,57226,2021-12-22T22:06:08.000Z,0,0
4055271,57226,2021-12-22T22:07:08.000Z,0,0
