id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7,chan_8,chan_9
4021613,89776,2021-12-21T18:02:43.000Z,0,0,0,0,0,0,0,0,0,0
4021633,89776,2021-12-21T18:03:43.000Z,0,0,0,0,0,0,0,0,0,0
4021653,89776,2021-12-21T18:04:43.000Z,0,0,0,0,0,0,0,0,0,0
4021673,89776,2021-12-21T18:05:43.000Z,0,0,0,0,0,0,0,0,0,0
4021693,89776,2021-12-21T18:06:43.000Z,0,0,0,0,0,0,0,0,0,0
4021713,89776,2021-12-21T18:07:43.000Z,0,0,0,0,0,0,0,0,0,0
4021733,89776,2021-12-21T18:08:43.000Z,0,0,0,0,0,0,0,0,0,0
4021753,89776,2021-12-21T18:09:43.000Z,0,0,0,0,0,0,0,0,0,0
4021773,89776,2021-12-21T18:10:43.000Z,0,0,0,0,0,0,0,0,0,0
4021793,89776,2021-12-21T18:11:43.000Z,0,0,0,0,0,0,0,0,0,0
4021813,89776,2021-12-21T18:12:43.000Z,0,0,0,0,0,0,0,0,0,0
4021833,89776,2021-12-21T18:13:43.000Z,0,0,0,0,0,0,0,0,0,0
4021853,89776,2021-12-21T18:14:43.000Z,0,0,0,0,0,0,0,0,0,0
4021873,89776,2021-12-21T18:15:43.000Z,0,0,0,0,0,0,0,0,0,0
